,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Attempted,Live_Ball_Passes,Dead_Ball_Passes,Free_Kick_Passes,Through_Balls,Switches,Crosses,Throw_Ins_Taken,Corner_Kicks,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Passes_Cmp,Passes_Off,Passes_Blocked
1238,1477,Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,29.0,1994.0,14.8,927.0,854.0,73.0,8.0,2.0,5.0,1,50.0,0.0,0.0,0.0,0.0,826.0,0.0,7.0
1239,1480,Karol Linetty,pl POL,MF,Torino,it Serie A,28.0,1995.0,20.6,884.0,849.0,31.0,24.0,0.0,7.0,19,2.0,5.0,2.0,3.0,0.0,755.0,4.0,8.0
1240,1481,Samuel Lino,br BRA,"DF,MF",Atlético Madrid,es La Liga,23.0,1999.0,23.1,1015.0,961.0,48.0,4.0,5.0,8.0,41,42.0,2.0,0.0,0.0,0.0,816.0,6.0,35.0
1241,1482,Luca Lipani,it ITA,MF,Sassuolo,it Serie A,18.0,2005.0,4.3,160.0,157.0,3.0,3.0,0.0,2.0,5,0.0,0.0,0.0,0.0,0.0,123.0,0.0,3.0
1242,1483,Pol Lirola,es ESP,DF,Frosinone,it Serie A,25.0,1997.0,17.1,722.0,627.0,93.0,15.0,2.0,2.0,25,78.0,0.0,0.0,0.0,0.0,556.0,2.0,20.0
1243,1484,Marcin Listkowski,pl POL,FW,Lecce,it Serie A,25.0,1998.0,0.1,3.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
1244,1485,Valentino Livramento,eng ENG,DF,Newcastle Utd,eng Premier League,20.0,2002.0,14.6,802.0,697.0,105.0,4.0,0.0,1.0,26,101.0,0.0,0.0,0.0,0.0,689.0,0.0,12.0
1245,1486,Dejan Ljubicic,at AUT,"MF,FW",Köln,de Bundesliga,25.0,1997.0,22.8,843.0,833.0,8.0,2.0,5.0,6.0,31,5.0,0.0,0.0,0.0,0.0,670.0,2.0,22.0
1246,1487,Javier Llabrés,es ESP,"MF,FW",Mallorca,es La Liga,20.0,2002.0,2.7,97.0,91.0,6.0,0.0,0.0,0.0,20,1.0,5.0,2.0,3.0,0.0,64.0,0.0,3.0
1247,1488,Diego Llorente,es ESP,DF,Roma,it Serie A,29.0,1993.0,24.1,1648.0,1592.0,55.0,28.0,1.0,3.0,6,8.0,0.0,0.0,0.0,0.0,1501.0,1.0,11.0
1248,1489,Marcos Llorente,es ESP,"MF,DF",Atlético Madrid,es La Liga,28.0,1995.0,28.5,1219.0,1135.0,80.0,1.0,1.0,3.0,70,79.0,0.0,0.0,0.0,0.0,974.0,4.0,46.0
1249,1490,Gautier Lloris,fr FRA,DF,Le Havre,fr Ligue 1,28.0,1995.0,30.9,1398.0,1369.0,27.0,18.0,2.0,3.0,3,8.0,0.0,0.0,0.0,0.0,1194.0,2.0,14.0
1250,1491,Abou Lô,sn SEN,"MF,DF",Metz,fr Ligue 1,23.0,2000.0,2.2,74.0,73.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,1.0
1251,1492,Giovani Lo Celso,ar ARG,MF,Tottenham,eng Premier League,27.0,1996.0,5.6,503.0,466.0,32.0,23.0,2.0,0.0,13,2.0,7.0,5.0,0.0,0.0,449.0,5.0,8.0
1252,1493,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,28.0,1994.0,36.5,2278.0,2209.0,63.0,37.0,4.0,14.0,3,2.0,0.0,0.0,0.0,0.0,2081.0,6.0,14.0
1253,1494,Manuel Locatelli,it ITA,MF,Juventus,it Serie A,25.0,1998.0,33.4,1988.0,1871.0,108.0,98.0,5.0,34.0,10,10.0,0.0,0.0,0.0,0.0,1703.0,9.0,15.0
1254,1495,Bradley Locko,fr FRA,DF,Brest,fr Ligue 1,21.0,2002.0,32.9,1852.0,1528.0,320.0,44.0,1.0,18.0,94,276.0,0.0,0.0,0.0,0.0,1544.0,4.0,32.0
